ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
130,4/1/2018 11:50,No,No,NOT-PROV,Yes,No,No,No,No,27.9,27.66,56.05,232.73,0,0,No,NOT-PROV,0
131,4/1/2018 11:49,No,No,NOT-PROV,Yes,No,No,No,No,28.27,28.03,56.05,232.63,0,0,No,NOT-PROV,0
132,4/1/2018 11:47,No,No,NOT-PROV,Yes,No,No,No,No,27.42,27.06,55.99,232.54,0,0,No,NOT-PROV,0
133,4/1/2018 11:46,No,No,NOT-PROV,Yes,No,No,No,No,27.18,26.69,56.05,231.95,0,0,No,NOT-PROV,0
134,4/1/2018 11:44,No,No,NOT-PROV,Yes,No,No,No,No,27.42,27.66,55.93,232.54,0,0,No,NOT-PROV,0
135,4/1/2018 11:43,No,No,NOT-PROV,Yes,No,No,No,No,27.9,27.66,56.05,231.66,0,0,No,NOT-PROV,0
136,4/1/2018 11:42,No,No,NOT-PROV,Yes,No,No,No,No,27.42,27.3,56.1,231.85,0,0,No,NOT-PROV,0
137,4/1/2018 11:40,No,No,NOT-PROV,Yes,No,No,No,No,27.66,27.3,56.1,230.19,0,0,No,NOT-PROV,0
138,4/1/2018 11:39,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.57,55.99,230.68,0,0,No,NOT-PROV,0
139,4/1/2018 11:37,No,No,NOT-PROV,Yes,No,No,No,No,26.69,25.97,56.1,231.66,0,0,No,NOT-PROV,0
140,4/1/2018 11:35,No,No,NOT-PROV,Yes,No,No,No,No,25,24.03,56.05,231.26,0,0,No,NOT-PROV,0
141,4/1/2018 11:33,No,No,NOT-PROV,Yes,No,No,No,No,25.97,25.85,55.93,232.34,0,0,No,NOT-PROV,0
142,4/1/2018 11:31,No,No,NOT-PROV,Yes,No,No,No,No,27.54,24.76,55.75,232.44,0,0,No,NOT-PROV,0
143,4/1/2018 11:29,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.57,55.75,232.63,0,0,No,NOT-PROV,0
144,4/1/2018 11:27,No,No,NOT-PROV,Yes,No,No,No,No,26.69,26.21,55.93,232.14,0,0,No,NOT-PROV,0
145,4/1/2018 11:25,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.21,55.93,232.14,0,0,No,NOT-PROV,0
146,4/1/2018 11:24,No,No,NOT-PROV,Yes,No,No,No,No,27.06,26.57,55.39,231.07,0,0,No,NOT-PROV,0
147,4/1/2018 11:22,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.33,55.04,231.66,0,0,No,NOT-PROV,0
148,4/1/2018 11:20,No,No,NOT-PROV,Yes,No,No,No,No,28.03,27.66,55.22,231.95,0,0,No,NOT-PROV,0
149,4/1/2018 11:18,No,No,NOT-PROV,Yes,No,No,No,No,27.18,26.94,55.1,231.17,0,0,No,NOT-PROV,0
150,4/1/2018 11:16,No,No,NOT-PROV,Yes,No,No,No,No,26.57,25.85,55.34,231.17,0,0,No,NOT-PROV,0
151,4/1/2018 11:15,No,No,NOT-PROV,Yes,No,No,No,No,26.81,26.21,55.04,231.75,0,0,No,NOT-PROV,0
152,4/1/2018 11:13,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.33,55.04,231.26,0,0,No,NOT-PROV,0
153,4/1/2018 11:12,No,No,NOT-PROV,Yes,No,No,No,No,25.85,25.6,55.1,231.46,0,0,No,NOT-PROV,0
154,4/1/2018 11:10,No,No,NOT-PROV,Yes,No,No,No,No,26.81,26.81,55.16,232.24,0,0,No,NOT-PROV,0
155,4/1/2018 11:08,No,No,NOT-PROV,Yes,No,No,No,No,26.33,26.09,55.16,231.56,0,0,No,NOT-PROV,0
156,4/1/2018 11:06,No,No,NOT-PROV,Yes,No,No,No,No,25.85,25.72,55.16,232.93,0,0,No,NOT-PROV,0
157,4/1/2018 11:04,No,No,NOT-PROV,Yes,No,No,No,No,25.48,25,55.16,233.02,0,0,No,NOT-PROV,0
158,4/1/2018 11:02,No,No,NOT-PROV,Yes,No,No,No,No,25.48,24.76,55.16,233.32,0,0,No,NOT-PROV,0
159,4/1/2018 11:00,No,No,NOT-PROV,Yes,No,No,No,No,25,24.76,55.16,233.81,0,0,No,NOT-PROV,0
